TimePeriod,CustomerCount,ActualRepeatRate,PredictedRepeatRate,AvgChurnRisk,AccuracyRate,AvgOrderValue,AvgBasketScore
Dec-Jan,1282,0.8572542901716068,0.7810212,0.2189788,0.8697347893915757,483.50059282371296,0.7170963338533541
Feb-Mar,852,0.744131455399061,0.65178865,0.34821138,0.7723004694835681,396.3109272300469,0.7191927230046948
Apr-May,574,0.6829268292682927,0.56774956,0.4322504,0.7125435540069687,386.87254355400694,0.6971526132404181
Jun-Jul,436,0.6238532110091743,0.49991018,0.5000898,0.6995412844036697,365.8266972477064,0.6669172018348624
Aug-Sep,1194,0.37185929648241206,0.27855745,0.7214425,0.7219430485762144,424.9816164154104,0.6123154103852596
